ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
163,31KJN0311M,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,6,CUNCUNUL,SAN DIEGO,CALLE SAN DIEGO,VALLADOLID,
164,31KCC0095Y,PREESCOLAR INDIGENA PAEPI,DISCONTINUO,PREESCOLAR,1,CUNCUNUL,X-AKABCHEN,,VALLADOLID,
165,31EPR0011V,NACHI COCOM,MATUTINO,PRIMARIA,155,CUNCUNUL,CUNCUNUL,CALLE 9 49,VALLADOLID,
166,31KPB0052E,PRIMARIA INDIGENA PAEPI,DISCONTINUO,PRIMARIA,4,CUNCUNUL,CHEBALAM,,VALLADOLID,
167,31KPR0440X,PRIMARIA COMUNITARIA,DISCONTINUO,PRIMARIA,7,CUNCUNUL,SAN DIEGO,,VALLADOLID,
168,31KPB0120L,PRIMARIA INDIGENA PAEPI,DISCONTINUO,PRIMARIA,4,CUNCUNUL,X-AKABCHEN,,VALLADOLID,
169,31EES0101G,ISMAEL RODRIGUEZ ARAGON,MATUTINO,SECUNDARIA,95,CUNCUNUL,CUNCUNUL,CALLE 12,VALLADOLID,
170,31DCC0156L,CUAUHTEMOC,MATUTINO,PREESCOLAR,167,CUZAMA,CUZAMA,CALLE 14 111 A,MERIDA,KANASIN
171,31DCC0275Z,CECILIO CHI,MATUTINO,PREESCOLAR,30,CUZAMA,CHUNKANAN,,MERIDA,KANASIN
172,31DCC0157K,RICARDO PALMERIN,MATUTINO,PREESCOLAR,25,CUZAMA,EKNAKAN,,MERIDA,KANASIN
173,31KJN0180K,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,7,CUZAMA,NOHCHAKAN,,MERIDA,KANASIN
174,31DPR0826Q,LEONIDES AYALA ESCAMILLA,MATUTINO,PRIMARIA,279,CUZAMA,CUZAMA,CALLE 10 106,MERIDA,KANASIN
